condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
131	layer5 W | layer6 J	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 J	null	29.0	true	
132	layer5 W | layer6 K	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 K	null	29.0	true	
133	layer5 W | layer6 L	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 L	null	29.0	true	
134	layer5 W | layer6 M	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 M	null	29.0	true	
135	layer5 W | layer6 N	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 N	null	29.0	true	
136	layer5 W | layer6 O	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 O	null	29.0	true	
137	layer5 W | layer6 P	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 P	null	29.0	true	
138	layer5 W | layer6 Q	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 Q	null	29.0	true	
139	layer5 W | layer6 R	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 R	null	29.0	true	
140	layer5 W | layer6 S	0 B I U W;1 1 2 3 4 5 6;2 B G L O;3 N;4 W;5 S	null	29.0	true	
