Index	Name	Value	Reduced Cost
2237	xEAr_B,N,P,R,A,4,3	0.23	0.0
2238	xEAr_B,N,P,R,A,5,1	0.23	0.0
2239	xEAr_B,N,P,R,A,5,2	0.23	0.0
2240	xEAr_B,N,P,R,A,5,3	0.23	0.0
2241	xEAr_B,N,P,R,A,5,4	0.23	0.0
2312	xEAr_C,N,N,L,A,2,1	64.65	0.0
2313	xEAr_C,N,N,L,A,3,1	64.65	0.0
2314	xEAr_C,N,N,L,A,3,2	64.52	0.0
2315	xEAr_C,N,N,L,A,4,1	64.65	0.0
2316	xEAr_C,N,N,L,A,4,2	64.52	0.0
2317	xEAr_C,N,N,L,A,4,3	64.39	0.0
2318	xEAr_C,N,N,L,A,5,1	64.65	0.0
2319	xEAr_C,N,N,L,A,5,2	64.52	0.0
2320	xEAr_C,N,N,L,A,5,3	64.39	0.0
2321	xEAr_C,N,N,L,A,5,4	64.26	0.0
2392	xEAr_C,N,N,H,A,2,1	1.93	0.0
2393	xEAr_C,N,N,H,A,3,1	1.93	0.0
2394	xEAr_C,N,N,H,A,3,2	1.93	0.0
2395	xEAr_C,N,N,H,A,4,1	1.93	0.0
2396	xEAr_C,N,N,H,A,4,2	1.93	0.0
2397	xEAr_C,N,N,H,A,4,3	1.93	0.0
2398	xEAr_C,N,N,H,A,5,1	1.93	0.0
2399	xEAr_C,N,N,H,A,5,2	1.93	0.0
2400	xEAr_C,N,N,H,A,5,3	1.93	0.0
2401	xEAr_C,N,N,H,A,5,4	1.92	0.0
2472	xEAr_C,N,N,C,A,2,1	25.27	0.0
2473	xEAr_C,N,N,C,A,3,1	25.27	0.0
2474	xEAr_C,N,N,C,A,3,2	25.22	0.0
2475	xEAr_C,N,N,C,A,4,1	25.27	0.0
2476	xEAr_C,N,N,C,A,4,2	25.22	0.0
2477	xEAr_C,N,N,C,A,4,3	25.17	0.0
2478	xEAr_C,N,N,C,A,5,1	25.27	0.0
2479	xEAr_C,N,N,C,A,5,2	25.22	0.0
2480	xEAr_C,N,N,C,A,5,3	25.17	0.0
2481	xEAr_C,N,N,C,A,5,4	25.12	0.0
2552	xEAr_C,N,N,R,A,2,1	2.4	0.0
2553	xEAr_C,N,N,R,A,3,1	2.4	0.0
2554	xEAr_C,N,N,R,A,3,2	2.39	0.0
2555	xEAr_C,N,N,R,A,4,1	2.4	0.0
2556	xEAr_C,N,N,R,A,4,2	2.39	0.0
2557	xEAr_C,N,N,R,A,4,3	2.39	0.0
2558	xEAr_C,N,N,R,A,5,1	2.4	0.0
2559	xEAr_C,N,N,R,A,5,2	2.39	0.0
2560	xEAr_C,N,N,R,A,5,3	2.39	0.0
2561	xEAr_C,N,N,R,A,5,4	2.39	0.0
2632	xEAr_C,N,O,L,A,2,1	0.19	0.0
2633	xEAr_C,N,O,L,A,3,1	0.19	0.0
2634	xEAr_C,N,O,L,A,3,2	0.19	0.0
2635	xEAr_C,N,O,L,A,4,1	0.19	0.0
2636	xEAr_C,N,O,L,A,4,2	0.19	0.0
2637	xEAr_C,N,O,L,A,4,3	0.19	0.0
2638	xEAr_C,N,O,L,A,5,1	0.19	0.0
2639	xEAr_C,N,O,L,A,5,2	0.19	0.0
2640	xEAr_C,N,O,L,A,5,3	0.19	0.0
2641	xEAr_C,N,O,L,A,5,4	0.19	0.0
2712	xEAr_C,N,O,H,A,2,1	0.83	0.0
2713	xEAr_C,N,O,H,A,3,1	0.83	0.0
2714	xEAr_C,N,O,H,A,3,2	0.82	0.0
2715	xEAr_C,N,O,H,A,4,1	0.83	0.0
2716	xEAr_C,N,O,H,A,4,2	0.82	0.0
2717	xEAr_C,N,O,H,A,4,3	0.82	0.0
2718	xEAr_C,N,O,H,A,5,1	0.83	0.0
2719	xEAr_C,N,O,H,A,5,2	0.82	0.0
2720	xEAr_C,N,O,H,A,5,3	0.82	0.0
2721	xEAr_C,N,O,H,A,5,4	0.82	0.0
2792	xEAr_C,N,O,C,A,2,1	0.23	0.0
2793	xEAr_C,N,O,C,A,3,1	0.23	0.0
2794	xEAr_C,N,O,C,A,3,2	0.23	0.0
2795	xEAr_C,N,O,C,A,4,1	0.23	0.0
2796	xEAr_C,N,O,C,A,4,2	0.23	0.0
2797	xEAr_C,N,O,C,A,4,3	0.23	0.0
2798	xEAr_C,N,O,C,A,5,1	0.23	0.0
2799	xEAr_C,N,O,C,A,5,2	0.23	0.0
2800	xEAr_C,N,O,C,A,5,3	0.23	0.0
2801	xEAr_C,N,O,C,A,5,4	0.23	0.0
2872	xEAr_C,N,O,R,A,2,1	0.65	0.0
2873	xEAr_C,N,O,R,A,3,1	0.65	0.0
2874	xEAr_C,N,O,R,A,3,2	0.65	0.0
2875	xEAr_C,N,O,R,A,4,1	0.65	0.0
2876	xEAr_C,N,O,R,A,4,2	0.65	0.0
2877	xEAr_C,N,O,R,A,4,3	0.65	0.0
2878	xEAr_C,N,O,R,A,5,1	0.65	0.0
2879	xEAr_C,N,O,R,A,5,2	0.65	0.0
2880	xEAr_C,N,O,R,A,5,3	0.65	0.0
2881	xEAr_C,N,O,R,A,5,4	0.65	0.0
3107	fire_B,R,N,L,A,1,A	0.6	0.0
3115	fire_B,R,N,L,A,2,A	0.6	0.0
3123	fire_B,R,N,L,A,3,A	0.6	0.0
3131	fire_B,R,N,L,A,4,A	0.6	0.0
3139	fire_B,R,N,L,A,5,A	0.6	0.0
3427	fire_B,R,N,C,A,1,A	0.27	0.0
3435	fire_B,R,N,C,A,2,A	0.27	0.0
3443	fire_B,R,N,C,A,3,A	0.27	0.0
3451	fire_B,R,N,C,A,4,A	0.27	0.0
