condition_id	condition_description	static_identifiers	MS_E_percentage	BS_E_percentage	model_condition	
84	layer5 G | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 N	6.6	20.0	true	
85	layer5 G | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 O	6.6	20.0	true	
86	layer5 G | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 P	26.3	20.0	true	
87	layer5 G | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 Q	13.2	20.0	true	
88	layer5 G | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 R	6.6	20.0	true	
89	layer5 G | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 S	0.0	20.0	true	
90	layer5 G | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 G;5 Z	0.0	null	true	
91	layer5 H | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 F	13.2	null	true	
92	layer5 H | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 G	13.2	null	true	
93	layer5 H | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 H	6.6	null	true	
94	layer5 H | layer6 I	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 I	6.6	null	true	
95	layer5 H | layer6 J	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 J	13.2	null	true	
96	layer5 H | layer6 K	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 K	0.0	null	true	
97	layer5 H | layer6 L	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 L	13.2	null	true	
98	layer5 H | layer6 M	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 M	13.2	null	true	
99	layer5 H | layer6 N	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 N	13.2	null	true	
100	layer5 H | layer6 O	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 O	6.6	null	true	
101	layer5 H | layer6 P	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 P	13.2	null	true	
102	layer5 H | layer6 Q	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 Q	6.6	null	true	
103	layer5 H | layer6 R	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 R	6.6	null	true	
104	layer5 H | layer6 S	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 S	0.0	null	true	
105	layer5 H | layer6 Z	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 H;5 Z	0.0	null	true	
106	layer5 I | layer6 F	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 F	6.6	null	true	
107	layer5 I | layer6 G	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 G	6.6	null	true	
108	layer5 I | layer6 H	0 AB AS BG MG PR SX;1 C G l s;2 1 2 3 4 5 6;3 B G L O U W;4 I;5 H	6.6	null	true	
