strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
URPHCL	U	R	P	H	C	L	284.17	0.0	0.0	0.0	15.700000000000001	14.129999999999999
URPRWS	U	R	P	R	W	S	55.419000000000004	0.0	0.0	0.0	1.16	1.421
URPRWP	U	R	P	R	W	P	56.3745	0.0	0.0	0.0	1.18	1.4455
URPRWL	U	R	P	R	W	L	386.022	0.0	0.0	0.0	8.08	9.898
URPRCM	U	R	P	R	C	M	67.875	0.0	0.0	0.0	3.75	3.375
URPRCL	U	R	P	R	C	L	871.515	0.0	0.0	0.0	48.150000000000006	43.335
UNNHWS	U	N	N	H	W	S	52.552499999999995	0.0	0.0	0.0	1.1	1.3475000000000001
UNNHWL	U	N	N	H	W	L	72.61800000000001	0.0	0.0	0.0	1.52	1.862
UNNHCL	U	N	N	H	C	L	139.37	0.0	0.0	0.0	7.7	6.93
UNNRWL	U	N	N	R	W	L	111.7935	0.0	0.0	0.0	2.34	2.8665000000000003
UNNRCL	U	N	N	R	C	L	222.63	0.0	0.0	0.0	12.3	11.07
UNOHWL	U	N	O	H	W	L	340.158	0.0	0.0	0.0	7.12	8.722
UNOHCL	U	N	O	H	C	L	751.15	0.0	0.0	0.0	41.5	37.35
UNORWL	U	N	O	R	W	L	282.828	0.0	0.0	0.0	5.92	7.252000000000001
UNORCM	U	N	O	R	C	M	73.305	0.0	0.0	0.0	4.05	3.645
UNORCL	U	N	O	R	C	L	862.465	0.0	0.0	0.0	47.650000000000006	42.885
UNPHWL	U	N	P	H	W	L	257.0295	0.0	0.0	0.0	5.38	6.5905000000000005
UNPHCL	U	N	P	H	C	L	459.74	0.0	0.0	0.0	25.400000000000002	22.86
UNPHAL	U	N	P	H	A	L	57.919999999999995	0.0	0.0	0.0	3.2	2.88
UNPRWL	U	N	P	R	W	L	484.43850000000003	0.0	0.0	0.0	10.14	12.4215
UNPRCS	U	N	P	R	C	S	50.68	0.0	0.0	0.0	2.8000000000000003	2.52
UNPRCM	U	N	P	R	C	M	55.205000000000005	0.0	0.0	0.0	3.0500000000000003	2.745
UNPRCL	U	N	P	R	C	L	912.24	0.0	0.0	0.0	50.400000000000006	45.36
UNPRAL	U	N	P	R	A	L	94.12	0.0	0.0	0.0	5.2	4.68
UNSHWS	U	N	S	H	W	S	1114.113	0.0	0.0	0.0	23.32	28.567
UNSHWP	U	N	S	H	W	P	146.1915	0.0	0.0	0.0	3.06	3.7485
UNSHWM	U	N	S	H	W	M	220.7205	0.0	0.0	0.0	4.62	5.6595
UNSHWL	U	N	S	H	W	L	2101.1445	0.0	0.0	0.0	43.980000000000004	53.8755
UNSHCS	U	N	S	H	C	S	437.115	0.0	0.0	0.0	24.150000000000002	21.735
UNSHCP	U	N	S	H	C	P	162.9	0.0	0.0	0.0	9.0	8.1
UNSHCM	U	N	S	H	C	M	293.22	0.0	0.0	0.0	16.2	14.58
UNSHCL	U	N	S	H	C	L	3877.02	0.0	0.0	0.0	214.20000000000002	192.78
