index	slack	dual
279935	-0.0	0.0
279943	0.0	0.0
279949	-0.0	0.0
279957	-0.0	0.0
279965	-0.0	0.0
279980	-0.0	0.0
279983	0.0	0.0
279999	0.0	0.0
280007	-0.0	0.0
280015	-0.0	0.0
280023	0.0	0.0
280039	-0.0	0.0
280047	-0.0	0.0
280059	-0.0	0.0
280063	-0.0	0.0
280072	-0.0	0.0
280080	-0.0	0.0
280087	-0.0	0.0
280095	0.0	0.0
280103	-0.0	0.0
280111	0.0	0.0
280119	0.0	0.0
280143	-0.0	0.0
280151	-0.0	0.0
280159	-0.0	0.0
280167	-0.0	0.0
280175	-0.0	0.0
280183	-0.0	0.0
280191	-0.0	0.0
280199	-0.0	0.0
280207	-0.0	0.0
280623	-0.0	0.0
280631	-0.0	0.0
280639	0.0	0.0
280655	-0.0	0.0
280663	-0.0	0.0
280671	0.0	0.0
280679	-0.0	0.0
280687	-0.0	0.0
280700	-0.0	0.0
280704	-0.0	0.0
280712	-0.0	0.0
280720	-0.0	0.0
280727	0.0	0.0
280735	-0.0	0.0
280743	0.0	0.0
280759	0.0	0.0
280767	0.0	0.0
280780	0.0	0.0
280785	-0.0	0.0
280789	-0.0	0.0
280804	0.0	0.0
280812	0.0	0.0
280817	-0.0	0.0
280831	-0.0	0.0
280839	-0.0	0.0
280847	-0.0	0.0
280859	0.0	0.0
280866	-0.0	0.0
280874	-0.0	0.0
280885	-0.0	0.0
280899	-0.0	0.0
280906	-0.0	0.0
280915	-0.0	0.0
280923	-0.0	0.0
280932	-0.0	0.0
280948	-0.0	0.0
280955	0.0	0.0
280963	0.0	0.0
280971	-0.0	0.0
280979	0.0	0.0
280987	0.0	0.0
280995	0.0	0.0
280997	-0.0	0.0
281006	-0.0	0.0
281260	-0.0	0.0
281279	-0.0	0.0
281287	-0.0	0.0
281295	-0.0	0.0
281311	-0.0	0.0
281319	-0.0	0.0
281327	-0.0	0.0
281340	-0.0	0.0
281344	-0.0	0.0
281352	-0.0	0.0
281360	0.0	0.0
281367	-0.0	0.0
281375	-0.0	0.0
281383	-0.0	0.0
281392	0.0	0.0
281399	-0.0	0.0
281407	-0.0	0.0
281425	0.0	0.0
281433	0.0	0.0
281441	-0.0	0.0
281449	-0.0	0.0
281455	-0.0	0.0
281463	-0.0	0.0
281472	-0.0	0.0
281479	-0.0	0.0
281487	-0.0	0.0
281580	-0.0	0.0
281587	-0.0	0.0
281595	-0.0	0.0
281597	-0.0	0.0
281611	-0.0	0.0
281613	-0.0	0.0
281628	-0.0	0.0
281629	-0.0	0.0
281637	-0.0	0.0
281646	-0.0	0.0
281740	0.0	0.0
281743	-0.0	0.0
281750	0.0	0.0
281757	-0.0	0.0
281768	0.0	0.0
281773	0.0	0.0
281788	0.0	0.0
281791	-0.0	0.0
281799	-0.0	0.0
281812	0.0	0.0
281823	-0.0	0.0
281834	-0.0	0.0
281839	-0.0	0.0
281855	0.0	0.0
281863	0.0	0.0
281871	0.0	0.0
281879	0.0	0.0
281887	-0.0	0.0
281900	-0.0	0.0
281903	0.0	0.0
281911	0.0	0.0
281919	-0.0	0.0
281927	0.0	0.0
281935	0.0	0.0
281959	0.0	0.0
281967	-0.0	0.0
281980	0.0	0.0
281983	0.0	0.0
281991	-0.0	0.0
281999	-0.0	0.0
282007	-0.0	0.0
282015	0.0	0.0
282023	-0.0	0.0
282031	0.0	0.0
282047	0.0	0.0
282060	-0.0	0.0
282063	-0.0	0.0
