bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
609	MAG6 15% LynxHarv 5 - time period 5	HARD	1.0	null	null	19800.0	null	128	z_125	935.6122977919999	0.0	0.0
610	MAG6 15% LynxHarv 6 - time period 6	HARD	1.0	null	null	19800.0	null	129	z_126	7525.490350082295	0.0	0.0
611	MAG6 15% LynxHarv 7 - time period 7	HARD	1.0	null	null	19800.0	null	130	z_127	10099.338072726201	0.0	0.0
612	MAG6 15% LynxHarv 8 - time period 8	HARD	1.0	null	null	19800.0	null	131	z_128	19800.0	0.0	0.0
613	MAG6 15% LynxHarv 9 - time period 9	HARD	1.0	null	null	19800.0	null	132	z_129	15098.383534955497	0.0	0.0
614	MAG6 15% LynxHarv 10 - time period 10	HARD	1.0	null	null	19800.0	null	133	z_130	2305.656988586935	0.0	0.0
615	MAG6 15% LynxHarv 11 - time period 11	HARD	1.0	null	null	19800.0	null	134	z_131	1436.0222866436488	0.0	0.0
616	MAG6 15% LynxHarv 12 - time period 12	HARD	1.0	null	null	19800.0	null	135	z_132	4510.181771256877	0.0	0.0
617	MAG6 15% LynxHarv 13 - time period 13	HARD	1.0	null	null	19800.0	null	136	z_133	5379.525657252219	0.0	0.0
618	MAG6 15% LynxHarv 14 - time period 14	HARD	1.0	null	null	19800.0	null	137	z_134	6464.393915989784	0.0	0.0
619	MAG6 15% LynxHarv 15 - time period 15	HARD	1.0	null	null	19800.0	null	138	z_135	9384.07882820112	0.0	0.0
620	rmcuft Per 15	FREE	1.0	null	null	null	null	256	v_42	6.31750879507041E7	0.0	0.0
751	VegI LowDen 1 - time period 1	FREE	1.0	222159.0	1.0	323141.0	1.0	257	v_43	138893.9999999999	0.0	0.0
752	VegI LowDen 2 - time period 2	FREE	1.0	222159.0	1.0	323141.0	1.0	258	v_44	152499.1647999999	0.0	0.0
