strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BNNCWM	B	N	N	C	W	M	0.0	0.0	1564.16	0.0	66.56	33.28
BNNCWL	B	N	N	C	W	L	0.0	0.0	4041.06	0.0	171.96	85.98
BNNCCS	B	N	N	C	C	S	0.0	0.0	0.0	91.18	3.88	1.94
BNNCCP	B	N	N	C	C	P	0.0	0.0	0.0	611.94	26.04	13.02
BNNCCM	B	N	N	C	C	M	0.0	1271.8200000000002	0.0	0.0	54.120000000000005	27.060000000000002
BNNCCL	B	N	N	C	C	L	3873.74	0.0	0.0	0.0	164.84	82.42
BNNCIM	B	N	N	C	I	M	0.0	0.0	57.34	0.0	2.44	1.22
BNNCIL	B	N	N	C	I	L	232.18	0.0	0.0	0.0	9.88	4.94
BNNCAP	B	N	N	C	A	P	0.0	0.0	0.0	60.16	2.56	1.28
BNNCAM	B	N	N	C	A	M	59.22	0.0	0.0	0.0	2.52	1.26
BNNCAL	B	N	N	C	A	L	314.90000000000003	0.0	0.0	0.0	13.4	6.7
BNNCLM	B	N	N	C	L	M	86.47999999999999	0.0	0.0	0.0	3.68	1.84
BNNCLL	B	N	N	C	L	L	170.14	0.0	0.0	0.0	7.24	3.62
BNNRPL	B	N	N	R	P	L	109.04	0.0	0.0	0.0	4.64	2.32
BNNRDL	B	N	N	R	D	L	72.38	0.0	0.0	0.0	3.08	1.54
BNNRWP	B	N	N	R	W	P	0.0	0.0	0.0	63.92	2.72	1.36
BNNRWM	B	N	N	R	W	M	273.54	0.0	0.0	0.0	11.64	5.82
BNNRWL	B	N	N	R	W	L	0.0	0.0	886.42	0.0	37.72	18.86
BNNRCM	B	N	N	R	C	M	0.0	0.0	333.7	0.0	14.200000000000001	7.1000000000000005
BNNRCL	B	N	N	R	C	L	0.0	0.0	1604.58	0.0	68.28	34.14
BNOHWL	B	N	O	H	W	L	0.0	0.0	269.78	0.0	11.48	5.74
BNOHCM	B	N	O	H	C	M	125.02000000000001	0.0	0.0	0.0	5.32	2.66
BNOHCL	B	N	O	H	C	L	634.5	0.0	0.0	0.0	27.0	13.5
BNORPL	B	N	O	R	P	L	119.38	0.0	0.0	0.0	5.08	2.54
BNORDM	B	N	O	R	D	M	84.60000000000001	0.0	0.0	0.0	3.6	1.8
BNORDL	B	N	O	R	D	L	160.74	0.0	0.0	0.0	6.84	3.42
BNORWP	B	N	O	R	W	P	0.0	0.0	0.0	65.8	2.8000000000000003	1.4000000000000001
BNORWM	B	N	O	R	W	M	152.28	0.0	0.0	0.0	6.48	3.24
BNORWL	B	N	O	R	W	L	0.0	1257.72	0.0	0.0	53.52	26.76
BNORCM	B	N	O	R	C	M	361.90000000000003	0.0	0.0	0.0	15.4	7.7
BNORCL	B	N	O	R	C	L	0.0	2256.94	0.0	0.0	96.04	48.02
