Index	Name	Value	Reduced Cost
1332	x_U,N,S,R,W,M,0	322.04	 
1336	x_U,N,S,R,W,M,4	9.96	 
1337	x_U,N,S,R,W,L,0	2872.17	 
1341	x_U,N,S,R,W,L,4	88.83	 
1342	x_U,N,S,R,C,S,0	281.3	 
1346	x_U,N,S,R,C,S,4	8.7	 
1347	x_U,N,S,R,C,P,0	252.2	 
1351	x_U,N,S,R,C,P,4	7.8	 
1352	x_U,N,S,R,C,M,0	579.09	 
1356	x_U,N,S,R,C,M,4	17.91	 
1357	x_U,N,S,R,C,L,0	6599.88	 
1361	x_U,N,S,R,C,L,4	204.12	 
1364	x_U,N,S,R,A,S,2	82.45	 
1366	x_U,N,S,R,A,S,4	2.55	 
1369	x_U,N,S,R,A,L,2	72.75	 
1371	x_U,N,S,R,A,L,4	2.25	 
1374	x_U,N,S,R,L,L,2	181.45	 
1376	x_U,N,S,R,L,L,4	9.55	 
1378	x_K,R,N,L,P,M,1	1015.59	 
1381	x_K,R,N,L,P,M,4	31.41	 
1382	x_K,R,N,L,P,L,0	199.82	 
1386	x_K,R,N,L,P,L,4	6.18	 
1387	x_K,R,N,L,D,M,0	155.2	 
1391	x_K,R,N,L,D,M,4	4.8	 
1392	x_K,R,N,L,D,L,0	170.72	 
1396	x_K,R,N,L,D,L,4	5.28	 
1397	x_K,R,N,L,W,S,0	92.15	 
1401	x_K,R,N,L,W,S,4	2.85	 
1402	x_K,R,N,L,W,P,0	454.93	 
1406	x_K,R,N,L,W,P,4	14.07	 
1407	x_K,R,N,L,W,M,0	2127.21	 
1411	x_K,R,N,L,W,M,4	65.79	 
1412	x_K,R,N,L,W,L,0	3645.26	 
1416	x_K,R,N,L,W,L,4	112.74	 
1417	x_K,R,N,L,C,P,0	97.97	 
1421	x_K,R,N,L,C,P,4	3.03	 
1422	x_K,R,N,L,C,M,0	1048.57	 
1426	x_K,R,N,L,C,M,4	32.43	 
1427	x_K,R,N,L,C,L,0	2529.76	 
