Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CNORWL	C	N	O	R	W	L	109	8	Yes	
CNORWM	C	N	O	R	W	M	67	8	Yes	
CNPCAL	C	N	P	C	A	L	498	9	Yes	
CNPCAM	C	N	P	C	A	M	992	8	Yes	
CNPCAP	C	N	P	C	A	P	1161	4	Yes	
CNPCCL	C	N	P	C	C	L	713	8	Yes	
CNPCCM	C	N	P	C	C	M	220	8	Yes	
CNPCCP	C	N	P	C	C	P	114	4	Yes	
CNPCIL	C	N	P	C	I	L	830	8	Yes	
CNPCIM	C	N	P	C	I	M	548	8	Yes	
CNPCIP	C	N	P	C	I	P	657	4	Yes	
CNPCLL	C	N	P	C	L	L	504	8	Yes	
CNPCLM	C	N	P	C	L	M	751	8	Yes	
CNPCLP	C	N	P	C	L	P	1143	4	Yes	
CNPCNN	C	N	P	C	N	N	237	not found	Yes	
CNPCWL	C	N	P	C	W	L	985	8	Yes	
CNPCWM	C	N	P	C	W	M	254	8	Yes	
CNPCWP	C	N	P	C	W	P	445	4	Yes	
CNPHAL	C	N	P	H	A	L	116	9	Yes	
CNPHAM	C	N	P	H	A	M	548	8	Yes	
CNPHAP	C	N	P	H	A	P	881	4	Yes	
CNPHIL	C	N	P	H	I	L	135	8	Yes	
CNPHIM	C	N	P	H	I	M	358	8	Yes	
CNPHIP	C	N	P	H	I	P	552	4	Yes	
CNPHLL	C	N	P	H	L	L	103	8	Yes	
CNPHLM	C	N	P	H	L	M	346	8	Yes	
CNPHLP	C	N	P	H	L	P	577	4	Yes	
CNPLAL	C	N	P	L	A	L	186	9	Yes	
CNPLAM	C	N	P	L	A	M	734	8	Yes	
CNPLAP	C	N	P	L	A	P	1208	4	Yes	
CNPLIM	C	N	P	L	I	M	289	8	Yes	
CNPLIP	C	N	P	L	I	P	173	4	Yes	
CNPLLL	C	N	P	L	L	L	55	8	Yes	
CNPLLM	C	N	P	L	L	M	238	8	Yes	
CNPLLP	C	N	P	L	L	P	234	4	Yes	
CNPLNN	C	N	P	L	N	N	186	not found	Yes	
CNPRAM	C	N	P	R	A	M	318	8	Yes	
CNPRAP	C	N	P	R	A	P	809	4	Yes	
CNPRIL	C	N	P	R	I	L	98	8	Yes	
CNPRIM	C	N	P	R	I	M	155	8	Yes	
CNPRIP	C	N	P	R	I	P	112	4	Yes	
CNPRLL	C	N	P	R	L	L	86	8	Yes	
CNPRLM	C	N	P	R	L	M	96	8	Yes	
CNPRLP	C	N	P	R	L	P	157	4	Yes	
CNSCAL	C	N	S	C	A	L	637	9	Yes	
CNSCAM	C	N	S	C	A	M	478	8	Yes	
CNSCAP	C	N	S	C	A	P	607	4	Yes	
CNSCCL	C	N	S	C	C	L	592	8	Yes	
CNSCIL	C	N	S	C	I	L	834	8	Yes	
CNSCIM	C	N	S	C	I	M	408	8	Yes	
CNSCIP	C	N	S	C	I	P	348	4	Yes	
CNSCLL	C	N	S	C	L	L	890	8	Yes	
CNSCLM	C	N	S	C	L	M	528	8	Yes	
