strata_id	layer1	layer2	layer3	layer4	layer5	layer6	natural_growth_acres	prescribed_burn_acres	group_selection_acres	even_age_acres	mixed_severity_wildfire_acres	barkbeetle_acres
BRPRWL	B	R	P	R	W	L	0.0	0.0	0.0	4802.07	158.31	316.62
BRPRCS	B	R	P	R	C	S	0.0	0.0	363.09	0.0	11.969999999999999	23.939999999999998
BRPRCP	B	R	P	R	C	P	0.0	0.0	358.54	0.0	11.82	23.64
BRPRCM	B	R	P	R	C	M	0.0	0.0	0.0	2373.28	78.24	156.48
BRPRCL	B	R	P	R	C	L	0.0	0.0	6905.08	0.0	227.64	455.28
BRPRIP	B	R	P	R	I	P	0.0	0.0	50.050000000000004	0.0	1.65	3.3
BRPRIL	B	R	P	R	I	L	0.0	0.0	83.72	0.0	2.76	5.52
BRPRAL	B	R	P	R	A	L	0.0	0.0	0.0	47.32	1.56	3.12
BRPRLL	B	R	P	R	L	L	0.0	0.0	73.71	0.0	2.4299999999999997	4.859999999999999
BNNLPL	B	N	N	L	P	L	0.0	83.72	0.0	0.0	2.76	5.52
BNNLDL	B	N	N	L	D	L	0.0	0.0	52.78	0.0	1.74	3.48
BNNLWS	B	N	N	L	W	S	0.0	68.25	0.0	0.0	2.25	4.5
BNNLWP	B	N	N	L	W	P	0.0	0.0	58.239999999999995	0.0	1.92	3.84
BNNLWM	B	N	N	L	W	M	0.0	0.0	306.66999999999996	0.0	10.11	20.22
BNNLWL	B	N	N	L	W	L	0.0	0.0	1041.04	0.0	34.32	68.64
BNNLCS	B	N	N	L	C	S	0.0	0.0	0.0	91.0	3.0	6.0
BNNLCM	B	N	N	L	C	M	0.0	0.0	360.36	0.0	11.879999999999999	23.759999999999998
BNNLCL	B	N	N	L	C	L	0.0	0.0	1270.36	0.0	41.879999999999995	83.75999999999999
BNNLIS	B	N	N	L	I	S	0.0	0.0	127.4	0.0	4.2	8.4
BNNLIM	B	N	N	L	I	M	0.0	197.47	0.0	0.0	6.51	13.02
BNNLIL	B	N	N	L	I	L	0.0	0.0	220.22	0.0	7.26	14.52
BNNLAS	B	N	N	L	A	S	0.0	0.0	78.26	0.0	2.58	5.16
BNNLAM	B	N	N	L	A	M	0.0	0.0	142.87	0.0	4.71	9.42
BNNLAL	B	N	N	L	A	L	0.0	0.0	0.0	343.98	11.34	22.68
BNNLLM	B	N	N	L	L	M	0.0	0.0	68.25	0.0	2.25	4.5
BNNHCL	B	N	N	H	C	L	0.0	0.0	64.61	0.0	2.13	4.26
BNNCPM	B	N	N	C	P	M	0.0	0.0	827.19	0.0	27.27	54.54
BNNCPL	B	N	N	C	P	L	0.0	0.0	1153.88	0.0	38.04	76.08
BNNCDS	B	N	N	C	D	S	0.0	0.0	76.44	0.0	2.52	5.04
BNNCDM	B	N	N	C	D	M	0.0	0.0	491.4	0.0	16.2	32.4
BNNCDL	B	N	N	C	D	L	0.0	0.0	1569.75	0.0	51.75	103.5
BNNCWS	B	N	N	C	W	S	0.0	0.0	97.37	0.0	3.21	6.42
BNNCWP	B	N	N	C	W	P	0.0	0.0	282.09999999999997	0.0	9.299999999999999	18.599999999999998
BNNCWM	B	N	N	C	W	M	0.0	0.0	1514.24	0.0	49.92	99.84
BNNCWL	B	N	N	C	W	L	0.0	0.0	3912.0899999999997	0.0	128.97	257.94
BNNCCS	B	N	N	C	C	S	0.0	0.0	88.27000000000001	0.0	2.9099999999999997	5.819999999999999
BNNCCP	B	N	N	C	C	P	0.0	0.0	592.4100000000001	0.0	19.529999999999998	39.059999999999995
BNNCCM	B	N	N	C	C	M	0.0	0.0	1231.23	0.0	40.589999999999996	81.17999999999999
BNNCCL	B	N	N	C	C	L	0.0	0.0	3750.1099999999997	0.0	123.63	247.26
BNNCIM	B	N	N	C	I	M	0.0	0.0	55.510000000000005	0.0	1.8299999999999998	3.6599999999999997
BNNCIL	B	N	N	C	I	L	0.0	0.0	224.77	0.0	7.41	14.82
BNNCAP	B	N	N	C	A	P	0.0	0.0	58.239999999999995	0.0	1.92	3.84
BNNCAM	B	N	N	C	A	M	0.0	0.0	57.33	0.0	1.89	3.78
BNNCAL	B	N	N	C	A	L	0.0	0.0	0.0	304.84999999999997	10.049999999999999	20.099999999999998
