action_list	layer_id	attribute_id	adjusted_percentage	
single_tree_openning	layer4	O	0.0	
tree_planting	layer4	O	0.0	
understory_burn_1	layer4	O	0.0	
understory_burn_2	layer4	O	0.0	
understory_burn_3	layer4	O	0.0	
weed_treatments	layer4	O	0.0	
artificial_regeneration	layer5	B	0.0	
broadcast_burn_1	layer5	B	0.0	
broadcast_burn_2	layer5	B	0.0	
broadcast_burn_3	layer5	B	0.0	
clear_cut_1	layer5	B	0.0	
clear_cut_2	layer5	B	0.0	
clear_cut_3	layer5	B	0.0	
commercial_thin_1	layer5	B	0.0	
commercial_thin_2	layer5	B	0.0	
commercial_thin_3	layer5	B	0.0	
group_openning_1	layer5	B	0.0	
group_openning_2	layer5	B	0.0	
group_openning_3	layer5	B	0.0	
no_action	layer5	B	0.0	
overstory_removal	layer5	B	0.0	
pre_commercial_thin_1	layer5	B	0.0	
pre_commercial_thin_2	layer5	B	0.0	
pre_commercial_thin_3	layer5	B	0.0	
seed_cut	layer5	B	0.0	
single_tree_openning	layer5	B	0.0	
tree_planting	layer5	B	0.0	
understory_burn_1	layer5	B	0.0	
understory_burn_2	layer5	B	0.0	
understory_burn_3	layer5	B	0.0	
weed_treatments	layer5	B	0.0	
artificial_regeneration	layer5	C	0.0	
broadcast_burn_1	layer5	C	0.0	
broadcast_burn_2	layer5	C	0.0	
broadcast_burn_3	layer5	C	0.0	
clear_cut_1	layer5	C	0.0	
clear_cut_2	layer5	C	0.0	
clear_cut_3	layer5	C	0.0	
commercial_thin_1	layer5	C	0.0	
commercial_thin_2	layer5	C	0.0	
commercial_thin_3	layer5	C	0.0	
group_openning_1	layer5	C	0.0	
group_openning_2	layer5	C	0.0	
group_openning_3	layer5	C	0.0	
no_action	layer5	C	0.0	
overstory_removal	layer5	C	0.0	
pre_commercial_thin_1	layer5	C	0.0	
pre_commercial_thin_2	layer5	C	0.0	
pre_commercial_thin_3	layer5	C	0.0	
seed_cut	layer5	C	0.0	
single_tree_openning	layer5	C	0.0	
tree_planting	layer5	C	0.0	
understory_burn_1	layer5	C	0.0	
understory_burn_2	layer5	C	0.0	
understory_burn_3	layer5	C	0.0	
weed_treatments	layer5	C	0.0	
artificial_regeneration	layer5	D	0.0	
broadcast_burn_1	layer5	D	0.0	
broadcast_burn_2	layer5	D	0.0	
broadcast_burn_3	layer5	D	0.0	
clear_cut_1	layer5	D	0.0	
clear_cut_2	layer5	D	0.0	
clear_cut_3	layer5	D	0.0	
commercial_thin_1	layer5	D	0.0	
commercial_thin_2	layer5	D	0.0	
commercial_thin_3	layer5	D	0.0	
group_openning_1	layer5	D	0.0	
group_openning_2	layer5	D	0.0	
group_openning_3	layer5	D	0.0	
no_action	layer5	D	0.0	
overstory_removal	layer5	D	0.0	
pre_commercial_thin_1	layer5	D	0.0	
pre_commercial_thin_2	layer5	D	0.0	
pre_commercial_thin_3	layer5	D	0.0	
seed_cut	layer5	D	0.0	
single_tree_openning	layer5	D	0.0	
tree_planting	layer5	D	0.0	
understory_burn_1	layer5	D	0.0	
understory_burn_2	layer5	D	0.0	
understory_burn_3	layer5	D	0.0	
weed_treatments	layer5	D	0.0	
artificial_regeneration	layer5	E	0.0	
broadcast_burn_1	layer5	E	0.0	
broadcast_burn_2	layer5	E	0.0	
broadcast_burn_3	layer5	E	0.0	
clear_cut_1	layer5	E	0.0	
clear_cut_2	layer5	E	0.0	
clear_cut_3	layer5	E	0.0	
commercial_thin_1	layer5	E	0.0	
commercial_thin_2	layer5	E	0.0	
commercial_thin_3	layer5	E	0.0	
group_openning_1	layer5	E	0.0	
group_openning_2	layer5	E	0.0	
group_openning_3	layer5	E	0.0	
no_action	layer5	E	0.0	
overstory_removal	layer5	E	0.0	
pre_commercial_thin_1	layer5	E	0.0	
pre_commercial_thin_2	layer5	E	0.0	
pre_commercial_thin_3	layer5	E	0.0	
seed_cut	layer5	E	0.0	
single_tree_openning	layer5	E	0.0	
tree_planting	layer5	E	0.0	
understory_burn_1	layer5	E	0.0	
understory_burn_2	layer5	E	0.0	
understory_burn_3	layer5	E	0.0	
weed_treatments	layer5	E	0.0	
artificial_regeneration	layer5	F	0.0	
broadcast_burn_1	layer5	F	0.0	
broadcast_burn_2	layer5	F	0.0	
broadcast_burn_3	layer5	F	0.0	
clear_cut_1	layer5	F	0.0	
clear_cut_2	layer5	F	0.0	
clear_cut_3	layer5	F	0.0	
commercial_thin_1	layer5	F	0.0	
commercial_thin_2	layer5	F	0.0	
commercial_thin_3	layer5	F	0.0	
group_openning_1	layer5	F	0.0	
group_openning_2	layer5	F	0.0	
group_openning_3	layer5	F	0.0	
no_action	layer5	F	0.0	
overstory_removal	layer5	F	0.0	
pre_commercial_thin_1	layer5	F	0.0	
pre_commercial_thin_2	layer5	F	0.0	
pre_commercial_thin_3	layer5	F	0.0	
seed_cut	layer5	F	0.0	
single_tree_openning	layer5	F	0.0	
tree_planting	layer5	F	0.0	
understory_burn_1	layer5	F	0.0	
understory_burn_2	layer5	F	0.0	
understory_burn_3	layer5	F	0.0	
weed_treatments	layer5	F	0.0	
artificial_regeneration	layer5	G	0.0	
broadcast_burn_1	layer5	G	0.0	
broadcast_burn_2	layer5	G	0.0	
broadcast_burn_3	layer5	G	0.0	
clear_cut_1	layer5	G	0.0	
clear_cut_2	layer5	G	0.0	
clear_cut_3	layer5	G	0.0	
commercial_thin_1	layer5	G	0.0	
commercial_thin_2	layer5	G	0.0	
commercial_thin_3	layer5	G	0.0	
group_openning_1	layer5	G	0.0	
group_openning_2	layer5	G	0.0	
group_openning_3	layer5	G	0.0	
no_action	layer5	G	0.0	
overstory_removal	layer5	G	0.0	
pre_commercial_thin_1	layer5	G	0.0	
pre_commercial_thin_2	layer5	G	0.0	
pre_commercial_thin_3	layer5	G	0.0	
seed_cut	layer5	G	0.0	
single_tree_openning	layer5	G	0.0	
tree_planting	layer5	G	0.0	
understory_burn_1	layer5	G	0.0	
understory_burn_2	layer5	G	0.0	
understory_burn_3	layer5	G	0.0	
weed_treatments	layer5	G	0.0	
artificial_regeneration	layer5	H	0.0	
broadcast_burn_1	layer5	H	0.0	
broadcast_burn_2	layer5	H	0.0	
broadcast_burn_3	layer5	H	0.0	
clear_cut_1	layer5	H	0.0	
clear_cut_2	layer5	H	0.0	
clear_cut_3	layer5	H	0.0	
commercial_thin_1	layer5	H	0.0	
commercial_thin_2	layer5	H	0.0	
commercial_thin_3	layer5	H	0.0	
group_openning_1	layer5	H	0.0	
group_openning_2	layer5	H	0.0	
group_openning_3	layer5	H	0.0	
no_action	layer5	H	0.0	
overstory_removal	layer5	H	0.0	
pre_commercial_thin_1	layer5	H	0.0	
pre_commercial_thin_2	layer5	H	0.0	
pre_commercial_thin_3	layer5	H	0.0	
seed_cut	layer5	H	0.0	
single_tree_openning	layer5	H	0.0	
tree_planting	layer5	H	0.0	
understory_burn_1	layer5	H	0.0	
understory_burn_2	layer5	H	0.0	
understory_burn_3	layer5	H	0.0	
weed_treatments	layer5	H	0.0	
artificial_regeneration	layer5	I	0.0	
broadcast_burn_1	layer5	I	0.0	
broadcast_burn_2	layer5	I	0.0	
broadcast_burn_3	layer5	I	0.0	
clear_cut_1	layer5	I	0.0	
clear_cut_2	layer5	I	0.0	
clear_cut_3	layer5	I	0.0	
commercial_thin_1	layer5	I	0.0	
commercial_thin_2	layer5	I	0.0	
commercial_thin_3	layer5	I	0.0	
group_openning_1	layer5	I	0.0	
group_openning_2	layer5	I	0.0	
group_openning_3	layer5	I	0.0	
no_action	layer5	I	0.0	
overstory_removal	layer5	I	0.0	
pre_commercial_thin_1	layer5	I	0.0	
pre_commercial_thin_2	layer5	I	0.0	
pre_commercial_thin_3	layer5	I	0.0	
seed_cut	layer5	I	0.0	
single_tree_openning	layer5	I	0.0	
tree_planting	layer5	I	0.0	
understory_burn_1	layer5	I	0.0	
understory_burn_2	layer5	I	0.0	
understory_burn_3	layer5	I	0.0	
weed_treatments	layer5	I	0.0	
