index	name	value	reduced_cost
757	x_B,N,N,C,P,M,2	863.55	0.0
759	x_B,N,N,C,P,M,4	45.45	0.0
762	x_B,N,N,C,P,L,2	1204.6	0.0
764	x_B,N,N,C,P,L,4	63.4	0.0
768	x_B,N,N,C,D,S,3	79.8	0.0
769	x_B,N,N,C,D,S,4	4.2	0.0
771	x_B,N,N,C,D,M,1	513.0	0.0
774	x_B,N,N,C,D,M,4	27.0	0.0
777	x_B,N,N,C,D,L,2	1638.75	0.0
779	x_B,N,N,C,D,L,4	86.25	0.0
783	x_B,N,N,C,W,S,3	101.65	0.0
784	x_B,N,N,C,W,S,4	5.35	0.0
788	x_B,N,N,C,W,P,3	294.5	0.0
789	x_B,N,N,C,W,P,4	15.5	0.0
791	x_B,N,N,C,W,M,1	1580.8	0.0
794	x_B,N,N,C,W,M,4	83.2	0.0
797	x_B,N,N,C,W,L,2	4084.05	0.0
799	x_B,N,N,C,W,L,4	214.95	0.0
803	x_B,N,N,C,C,S,3	92.15	0.0
804	x_B,N,N,C,C,S,4	4.85	0.0
808	x_B,N,N,C,C,P,3	618.45	0.0
809	x_B,N,N,C,C,P,4	32.55	0.0
810	x_B,N,N,C,C,M,0	1285.35	0.0
814	x_B,N,N,C,C,M,4	67.65	0.0
815	x_B,N,N,C,C,L,0	3914.95	0.0
819	x_B,N,N,C,C,L,4	206.05	0.0
820	x_B,N,N,C,I,M,0	57.95	0.0
824	x_B,N,N,C,I,M,4	3.05	0.0
825	x_B,N,N,C,I,L,0	234.65	0.0
829	x_B,N,N,C,I,L,4	12.35	0.0
833	x_B,N,N,C,A,P,3	60.8	0.0
834	x_B,N,N,C,A,P,4	3.2	0.0
835	x_B,N,N,C,A,M,0	59.85	0.0
839	x_B,N,N,C,A,M,4	3.15	0.0
840	x_B,N,N,C,A,L,0	318.25	0.0
844	x_B,N,N,C,A,L,4	16.75	0.0
845	x_B,N,N,C,L,M,0	87.4	0.0
849	x_B,N,N,C,L,M,4	4.6	0.0
850	x_B,N,N,C,L,L,0	171.95	0.0
854	x_B,N,N,C,L,L,4	9.05	0.0
855	x_B,N,N,R,P,L,0	110.2	0.0
859	x_B,N,N,R,P,L,4	5.8	0.0
860	x_B,N,N,R,D,L,0	73.15	0.0
864	x_B,N,N,R,D,L,4	3.85	0.0
868	x_B,N,N,R,W,P,3	64.6	0.0
869	x_B,N,N,R,W,P,4	3.4	0.0
870	x_B,N,N,R,W,M,0	276.45	0.0
874	x_B,N,N,R,W,M,4	14.55	0.0
875	x_B,N,N,R,W,L,0	895.85	0.0
879	x_B,N,N,R,W,L,4	47.15	0.0
880	x_B,N,N,R,C,M,0	337.25	0.0
884	x_B,N,N,R,C,M,4	17.75	0.0
886	x_B,N,N,R,C,L,1	1621.65	0.0
889	x_B,N,N,R,C,L,4	85.35	0.0
890	x_B,N,O,H,W,L,0	272.65	0.0
894	x_B,N,O,H,W,L,4	14.35	0.0
895	x_B,N,O,H,C,M,0	126.35	0.0
899	x_B,N,O,H,C,M,4	6.65	0.0
900	x_B,N,O,H,C,L,0	641.25	0.0
904	x_B,N,O,H,C,L,4	33.75	0.0
905	x_B,N,O,R,P,L,0	120.65	0.0
909	x_B,N,O,R,P,L,4	6.35	0.0
910	x_B,N,O,R,D,M,0	85.5	0.0
914	x_B,N,O,R,D,M,4	4.5	0.0
915	x_B,N,O,R,D,L,0	162.45	0.0
919	x_B,N,O,R,D,L,4	8.55	0.0
923	x_B,N,O,R,W,P,3	66.5	0.0
924	x_B,N,O,R,W,P,4	3.5	0.0
925	x_B,N,O,R,W,M,0	153.9	0.0
929	x_B,N,O,R,W,M,4	8.1	0.0
931	x_B,N,O,R,W,L,1	1271.1	0.0
934	x_B,N,O,R,W,L,4	66.9	0.0
937	x_B,N,O,R,C,M,2	365.75	0.0
939	x_B,N,O,R,C,M,4	19.25	0.0
941	x_B,N,O,R,C,L,1	2280.95	0.0
944	x_B,N,O,R,C,L,4	120.05	0.0
947	x_B,N,P,H,W,M,2	85.5	0.0
949	x_B,N,P,H,W,M,4	4.5	0.0
952	x_B,N,P,H,W,L,2	232.75	0.0
954	x_B,N,P,H,W,L,4	12.25	0.0
958	x_B,N,P,H,C,P,3	53.2	0.0
959	x_B,N,P,H,C,P,4	2.8	0.0
962	x_B,N,P,H,C,M,2	128.25	0.0
964	x_B,N,P,H,C,M,4	6.75	0.0
965	x_B,N,P,H,C,L,0	454.1	0.0
969	x_B,N,P,H,C,L,4	23.9	0.0
972	x_B,N,P,C,C,L,2	74.1	0.0
974	x_B,N,P,C,C,L,4	3.9	0.0
977	x_B,N,P,R,P,L,2	73.15	0.0
979	x_B,N,P,R,P,L,4	3.85	0.0
982	x_B,N,P,R,D,L,2	61.75	0.0
984	x_B,N,P,R,D,L,4	3.25	0.0
988	x_B,N,P,R,W,P,3	58.9	0.0
989	x_B,N,P,R,W,P,4	3.1	0.0
992	x_B,N,P,R,W,M,2	209.0	0.0
994	x_B,N,P,R,W,M,4	11.0	0.0
996	x_B,N,P,R,W,L,1	704.9	0.0
999	x_B,N,P,R,W,L,4	37.1	0.0
1003	x_B,N,P,R,C,P,3	68.4	0.0
1004	x_B,N,P,R,C,P,4	3.6	0.0
1006	x_B,N,P,R,C,M,1	306.85	0.0
1009	x_B,N,P,R,C,M,4	16.15	0.0
1012	x_B,N,P,R,C,L,2	1183.7	0.0
1014	x_B,N,P,R,C,L,4	62.3	0.0
