Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Methods for Implementation	
CRNHIP	C	R	N	H	I	P	223	GS PB 	
CRNHLL	C	R	N	H	L	L	59	GS PB 	
CRNHLM	C	R	N	H	L	M	360	GS PB 	
CRNHLP	C	R	N	H	L	P	266	GS PB 	
CRNHNN	C	R	N	H	N	N	388	GS PB 	
CRNHWL	C	R	N	H	W	L	97	GS PB 	
CRNHWM	C	R	N	H	W	M	183	GS PB 	
CRNLAL	C	R	N	L	A	L	3051	GS PB 	
CRNLAM	C	R	N	L	A	M	7546	GS PB 	
CRNLAP	C	R	N	L	A	P	12507	GS PB 	
CRNLAS	C	R	N	L	A	S	75	GS PB 	
CRNLCL	C	R	N	L	C	L	664	GS PB 	
CRNLCM	C	R	N	L	C	M	118	GS PB 	
CRNLCP	C	R	N	L	C	P	51	GS PB 	
CRNLIL	C	R	N	L	I	L	1642	GS PB 	
CRNLIM	C	R	N	L	I	M	4812	GS PB 	
CRNLIP	C	R	N	L	I	P	3746	GS PB 	
CRNLIS	C	R	N	L	I	S	203	GS PB 	
CRNLLL	C	R	N	L	L	L	926	GS PB 	
CRNLLM	C	R	N	L	L	M	4120	GS PB 	
CRNLLP	C	R	N	L	L	P	4114	GS PB 	
CRNLNN	C	R	N	L	N	N	3495	GS PB 	
CRNLPM	C	R	N	L	P	M	72	GS PB 	
CRNLPP	C	R	N	L	P	P	94	GS PB 	
CRNLWL	C	R	N	L	W	L	754	GS PB 	
CRNLWM	C	R	N	L	W	M	461	GS PB 	
CRNLWP	C	R	N	L	W	P	185	GS PB 	
CRNRAL	C	R	N	R	A	L	445	GS PB 	
CRNRAM	C	R	N	R	A	M	1018	GS PB 	
CRNRAP	C	R	N	R	A	P	722	GS PB 	
CRNRAS	C	R	N	R	A	S	575	GS PB 	
CRNRIL	C	R	N	R	I	L	301	GS PB 	
CRNRIM	C	R	N	R	I	M	610	GS PB 	
CRNRIP	C	R	N	R	I	P	533	GS PB 	
CRNRIS	C	R	N	R	I	S	157	GS PB 	
CRNRLL	C	R	N	R	L	L	61	GS PB 	
CRNRLM	C	R	N	R	L	M	254	GS PB 	
CRNRLP	C	R	N	R	L	P	355	GS PB 	
CRNRNN	C	R	N	R	N	N	2606	GS PB 	
CRNRPM	C	R	N	R	P	M	90	GS PB 	
CRNRWL	C	R	N	R	W	L	69	GS PB 	
CRNRWM	C	R	N	R	W	M	192	GS PB 	
CROCAL	C	R	O	C	A	L	164	GS PB 	
CROCAM	C	R	O	C	A	M	371	GS PB 	
CROCAP	C	R	O	C	A	P	688	GS PB 	
CROCIL	C	R	O	C	I	L	370	GS PB 	
CROCIM	C	R	O	C	I	M	300	GS PB 	
CROCIP	C	R	O	C	I	P	357	GS PB 	
CROCLL	C	R	O	C	L	L	93	GS PB 	
CROCLM	C	R	O	C	L	M	189	GS PB 	
CROCLP	C	R	O	C	L	P	269	GS PB 	
CROHAL	C	R	O	H	A	L	306	GS PB 	
CROHAM	C	R	O	H	A	M	242	GS PB 	
CROHAP	C	R	O	H	A	P	383	GS PB 	
CROHIL	C	R	O	H	I	L	229	GS PB 	
CROHIM	C	R	O	H	I	M	138	GS PB 	
CROHIP	C	R	O	H	I	P	173	GS PB 	
CROHLL	C	R	O	H	L	L	250	GS PB 	
CROHLM	C	R	O	H	L	M	182	GS PB 	
CROHLP	C	R	O	H	L	P	189	GS PB 	
CROLAL	C	R	O	L	A	L	356	GS PB 	
CROLAM	C	R	O	L	A	M	429	GS PB 	
CROLAP	C	R	O	L	A	P	1797	GS PB 	
CROLIL	C	R	O	L	I	L	343	GS PB 	
CROLIM	C	R	O	L	I	M	252	GS PB 	
CROLIP	C	R	O	L	I	P	495	GS PB 	
CROLLL	C	R	O	L	L	L	87	GS PB 	
CROLLM	C	R	O	L	L	M	207	GS PB 	
CROLLP	C	R	O	L	L	P	444	GS PB 	
CRORAL	C	R	O	R	A	L	238	GS PB 	
CRORAM	C	R	O	R	A	M	202	GS PB 	
CRORAP	C	R	O	R	A	P	171	GS PB 	
CRORIL	C	R	O	R	I	L	290	GS PB 	
CRORIM	C	R	O	R	I	M	138	GS PB 	
CRORIP	C	R	O	R	I	P	134	GS PB 	
CRORLL	C	R	O	R	L	L	57	GS PB 	
CRORLM	C	R	O	R	L	M	128	GS PB 	
CRORLP	C	R	O	R	L	P	111	GS PB 	
CRPCAL	C	R	P	C	A	L	1055	GS PB 	
CRPCAM	C	R	P	C	A	M	2432	GS PB 	
CRPCAP	C	R	P	C	A	P	6553	GS PB 	
CRPCIL	C	R	P	C	I	L	2382	GS PB 	
CRPCIM	C	R	P	C	I	M	1762	GS PB 	
CRPCIP	C	R	P	C	I	P	2665	GS PB 	
CRPCLL	C	R	P	C	L	L	683	GS PB 	
CRPCLM	C	R	P	C	L	M	1879	GS PB 	
CRPCLP	C	R	P	C	L	P	2948	GS PB 	
CRPCNN	C	R	P	C	N	N	63	GS PB 	
CRPCPL	C	R	P	C	P	L	164	GS PB 	
CRPCPM	C	R	P	C	P	M	56	GS PB 	
CRPCPP	C	R	P	C	P	P	54	GS PB 	
CRPCWL	C	R	P	C	W	L	113	GS PB 	
CRPCWM	C	R	P	C	W	M	87	GS PB 	
CRPHAL	C	R	P	H	A	L	1066	GS PB 	
CRPHAM	C	R	P	H	A	M	1632	GS PB 	
CRPHAP	C	R	P	H	A	P	3896	GS PB 	
CRPHCL	C	R	P	H	C	L	96	GS PB 	
CRPHCM	C	R	P	H	C	M	57	GS PB 	
CRPHIL	C	R	P	H	I	L	1015	GS PB 	
CRPHIM	C	R	P	H	I	M	1234	GS PB 	
CRPHIP	C	R	P	H	I	P	1479	GS PB 	
CRPHLL	C	R	P	H	L	L	1057	GS PB 	
CRPHLM	C	R	P	H	L	M	2163	GS PB 	
CRPHLP	C	R	P	H	L	P	2639	GS PB 	
CRPHWL	C	R	P	H	W	L	77	GS PB 	
CRPHWM	C	R	P	H	W	M	87	GS PB 	
CRPLAL	C	R	P	L	A	L	1454	GS PB 	
CRPLAM	C	R	P	L	A	M	2729	GS PB 	
CRPLAP	C	R	P	L	A	P	8858	GS PB 	
CRPLAS	C	R	P	L	A	S	63	GS PB 	
CRPLCL	C	R	P	L	C	L	61	GS PB 	
CRPLIL	C	R	P	L	I	L	1837	GS PB 	
CRPLIM	C	R	P	L	I	M	1919	GS PB 	
CRPLIP	C	R	P	L	I	P	3662	GS PB 	
CRPLLL	C	R	P	L	L	L	758	GS PB 	
CRPLLM	C	R	P	L	L	M	1623	GS PB 	
