CNNRWM,C,N,N,R,W,M,103
CNOCAL,C,N,O,C,A,L,120
CNOCAM,C,N,O,C,A,M,204
CNOCAP,C,N,O,C,A,P,117
CNOCCL,C,N,O,C,C,L,86
CNOCIL,C,N,O,C,I,L,129
CNOCIM,C,N,O,C,I,M,53
CNOCIP,C,N,O,C,I,P,72
CNOCLL,C,N,O,C,L,L,60
CNOCLM,C,N,O,C,L,M,60
CNOCLP,C,N,O,C,L,P,57
CNOCWL,C,N,O,C,W,L,65
CNOHAL,C,N,O,H,A,L,426
CNOHAM,C,N,O,H,A,M,448
CNOHAP,C,N,O,H,A,P,695
CNOHIL,C,N,O,H,I,L,393
CNOHIM,C,N,O,H,I,M,348
CNOHIP,C,N,O,H,I,P,338
CNOHLL,C,N,O,H,L,L,167
CNOHLM,C,N,O,H,L,M,273
CNOHLP,C,N,O,H,L,P,266
CNOHWL,C,N,O,H,W,L,55
CNOLAL,C,N,O,L,A,L,97
CNOLAM,C,N,O,L,A,M,147
CNOLAP,C,N,O,L,A,P,333
CNOLIM,C,N,O,L,I,M,71
CNOLIP,C,N,O,L,I,P,91
CNOLLM,C,N,O,L,L,M,56
CNOLLP,C,N,O,L,L,P,101
CNORAL,C,N,O,R,A,L,336
CNORAM,C,N,O,R,A,M,217
CNORAP,C,N,O,R,A,P,218
CNORIL,C,N,O,R,I,L,409
CNORIM,C,N,O,R,I,M,252
CNORIP,C,N,O,R,I,P,233
CNORLL,C,N,O,R,L,L,241
CNORLM,C,N,O,R,L,M,156
CNORLP,C,N,O,R,L,P,159
CNORWL,C,N,O,R,W,L,109
CNORWM,C,N,O,R,W,M,67
CNPCAL,C,N,P,C,A,L,498
CNPCAM,C,N,P,C,A,M,992
CNPCAP,C,N,P,C,A,P,1161
CNPCCL,C,N,P,C,C,L,713
CNPCCM,C,N,P,C,C,M,220
CNPCCP,C,N,P,C,C,P,114
CNPCIL,C,N,P,C,I,L,830
CNPCIM,C,N,P,C,I,M,548
CNPCIP,C,N,P,C,I,P,657
CNPCLL,C,N,P,C,L,L,504
CNPCLM,C,N,P,C,L,M,751
CNPCLP,C,N,P,C,L,P,1143
CNPCNN,C,N,P,C,N,N,237
CNPCWL,C,N,P,C,W,L,985
CNPCWM,C,N,P,C,W,M,254
CNPCWP,C,N,P,C,W,P,445
CNPHAL,C,N,P,H,A,L,116
CNPHAM,C,N,P,H,A,M,548
CNPHAP,C,N,P,H,A,P,881
CNPHIL,C,N,P,H,I,L,135
CNPHIM,C,N,P,H,I,M,358
CNPHIP,C,N,P,H,I,P,552
CNPHLL,C,N,P,H,L,L,103
CNPHLM,C,N,P,H,L,M,346
CNPHLP,C,N,P,H,L,P,577
CNPLAL,C,N,P,L,A,L,186
CNPLAM,C,N,P,L,A,M,734
