Index	Name	Value	Reduced Cost
712	x_B,N,N,C,P,M,4	27.27	 
714	x_B,N,N,C,P,L,1	1229.96	 
717	x_B,N,N,C,P,L,4	38.04	 
718	x_B,N,N,C,D,S,0	81.48	 
722	x_B,N,N,C,D,S,4	2.52	 
724	x_B,N,N,C,D,M,1	523.8	 
727	x_B,N,N,C,D,M,4	16.2	 
729	x_B,N,N,C,D,L,1	1673.25	 
732	x_B,N,N,C,D,L,4	51.75	 
733	x_B,N,N,C,W,S,0	103.79	 
737	x_B,N,N,C,W,S,4	3.21	 
738	x_B,N,N,C,W,P,0	300.7	 
742	x_B,N,N,C,W,P,4	9.3	 
743	x_B,N,N,C,W,M,0	1614.08	 
747	x_B,N,N,C,W,M,4	49.92	 
748	x_B,N,N,C,W,L,0	4170.03	 
752	x_B,N,N,C,W,L,4	128.97	 
753	x_B,N,N,C,C,S,0	94.09	 
757	x_B,N,N,C,C,S,4	2.91	 
758	x_B,N,N,C,C,P,0	631.47	 
762	x_B,N,N,C,C,P,4	19.53	 
763	x_B,N,N,C,C,M,0	1312.41	 
767	x_B,N,N,C,C,M,4	40.59	 
768	x_B,N,N,C,C,L,0	3997.37	 
772	x_B,N,N,C,C,L,4	123.63	 
775	x_B,N,N,C,I,M,2	59.17	 
777	x_B,N,N,C,I,M,4	1.83	 
780	x_B,N,N,C,I,L,2	239.59	 
782	x_B,N,N,C,I,L,4	7.41	 
785	x_B,N,N,C,A,P,2	62.08	 
787	x_B,N,N,C,A,P,4	1.92	 
790	x_B,N,N,C,A,M,2	61.11	 
792	x_B,N,N,C,A,M,4	1.89	 
795	x_B,N,N,C,A,L,2	324.95	 
797	x_B,N,N,C,A,L,4	10.05	 
800	x_B,N,N,C,L,M,2	87.4	 
802	x_B,N,N,C,L,M,4	4.6	 
805	x_B,N,N,C,L,L,2	171.95	 
807	x_B,N,N,C,L,L,4	9.05	 
809	x_B,N,N,R,P,L,1	112.52	 
812	x_B,N,N,R,P,L,4	3.48	 
814	x_B,N,N,R,D,L,1	74.69	 
817	x_B,N,N,R,D,L,4	2.31	 
821	x_B,N,N,R,W,P,3	65.96	 
822	x_B,N,N,R,W,P,4	2.04	 
823	x_B,N,N,R,W,M,0	282.27	 
827	x_B,N,N,R,W,M,4	8.73	 
828	x_B,N,N,R,W,L,0	914.71	 
832	x_B,N,N,R,W,L,4	28.29	 
833	x_B,N,N,R,C,M,0	344.35	 
837	x_B,N,N,R,C,M,4	10.65	 
838	x_B,N,N,R,C,L,0	1655.79	 
842	x_B,N,N,R,C,L,4	51.21	 
843	x_B,N,O,H,W,L,0	278.39	 
847	x_B,N,O,H,W,L,4	8.61	 
851	x_B,N,O,H,C,M,3	129.01	 
852	x_B,N,O,H,C,M,4	3.99	 
853	x_B,N,O,H,C,L,0	654.75	 
857	x_B,N,O,H,C,L,4	20.25	 
859	x_B,N,O,R,P,L,1	123.19	 
862	x_B,N,O,R,P,L,4	3.81	 
863	x_B,N,O,R,D,M,0	87.3	 
867	x_B,N,O,R,D,M,4	2.7	 
868	x_B,N,O,R,D,L,0	165.87	 
872	x_B,N,O,R,D,L,4	5.13	 
876	x_B,N,O,R,W,P,3	67.9	 
877	x_B,N,O,R,W,P,4	2.1	 
878	x_B,N,O,R,W,M,0	157.14	 
882	x_B,N,O,R,W,M,4	4.86	 
883	x_B,N,O,R,W,L,0	1297.86	 
887	x_B,N,O,R,W,L,4	40.14	 
888	x_B,N,O,R,C,M,0	373.45	 
892	x_B,N,O,R,C,M,4	11.55	 
893	x_B,N,O,R,C,L,0	2328.97	 
897	x_B,N,O,R,C,L,4	72.03	 
898	x_B,N,P,H,W,M,0	87.3	 
902	x_B,N,P,H,W,M,4	2.7	 
906	x_B,N,P,H,W,L,3	237.65	 
