Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Available Methods/Prescriptions	Methods for Implementation	
CNNLWM	C	N	N	L	W	M	5075	null	EA 	
CNNLWP	C	N	N	L	W	P	1715	null	EA 	
CNNLWS	C	N	N	L	W	S	331	null	EA 	
CNNRAL	C	N	N	R	A	L	1237	null	EA 	
CNNRAM	C	N	N	R	A	M	2226	null	EA 	
CNNRAP	C	N	N	R	A	P	1865	null	EA 	
CNNRAS	C	N	N	R	A	S	206	null	EA 	
CNNRIL	C	N	N	R	I	L	1061	null	EA 	
CNNRIM	C	N	N	R	I	M	1499	null	EA 	
CNNRIP	C	N	N	R	I	P	836	null	EA 	
CNNRIS	C	N	N	R	I	S	213	null	EA 	
CNNRLL	C	N	N	R	L	L	638	null	EA 	
CNNRLM	C	N	N	R	L	M	794	null	EA 	
CNNRLP	C	N	N	R	L	P	597	null	EA 	
CNNRWL	C	N	N	R	W	L	152	null	EA 	
CNNRWM	C	N	N	R	W	M	103	null	EA 	
CNOCAL	C	N	O	C	A	L	120	null	EA 	
CNOCAM	C	N	O	C	A	M	204	null	EA 	
CNOCAP	C	N	O	C	A	P	117	null	EA 	
CNOCCL	C	N	O	C	C	L	86	null	EA 	
CNOCIL	C	N	O	C	I	L	129	null	EA 	
CNOCIM	C	N	O	C	I	M	53	null	EA 	
CNOCIP	C	N	O	C	I	P	72	null	EA 	
CNOCLL	C	N	O	C	L	L	60	null	EA 	
CNOCLM	C	N	O	C	L	M	60	null	EA 	
CNOCLP	C	N	O	C	L	P	57	null	EA 	
CNOCWL	C	N	O	C	W	L	65	null	EA 	
CNOHAL	C	N	O	H	A	L	426	null	EA 	
CNOHAM	C	N	O	H	A	M	448	null	EA 	
CNOHAP	C	N	O	H	A	P	695	null	EA 	
CNOHIL	C	N	O	H	I	L	393	null	EA 	
CNOHIM	C	N	O	H	I	M	348	null	EA 	
CNOHIP	C	N	O	H	I	P	338	null	EA 	
CNOHLL	C	N	O	H	L	L	167	null	EA 	
CNOHLM	C	N	O	H	L	M	273	null	EA 	
CNOHLP	C	N	O	H	L	P	266	null	EA 	
CNOHWL	C	N	O	H	W	L	55	null	EA 	
CNOLAL	C	N	O	L	A	L	97	null	EA 	
CNOLAM	C	N	O	L	A	M	147	null	EA 	
CNOLAP	C	N	O	L	A	P	333	null	EA 	
CNOLIM	C	N	O	L	I	M	71	null	EA 	
CNOLIP	C	N	O	L	I	P	91	null	EA 	
CNOLLM	C	N	O	L	L	M	56	null	EA 	
CNOLLP	C	N	O	L	L	P	101	null	EA 	
CNORAL	C	N	O	R	A	L	336	null	EA 	
CNORAM	C	N	O	R	A	M	217	null	EA 	
CNORAP	C	N	O	R	A	P	218	null	EA 	
CNORIL	C	N	O	R	I	L	409	null	EA 	
CNORIM	C	N	O	R	I	M	252	null	EA 	
CNORIP	C	N	O	R	I	P	233	null	EA 	
CNORLL	C	N	O	R	L	L	241	null	EA 	
CNORLM	C	N	O	R	L	M	156	null	EA 	
CNORLP	C	N	O	R	L	P	159	null	EA 	
CNORWL	C	N	O	R	W	L	109	null	EA 	
CNORWM	C	N	O	R	W	M	67	null	EA 	
CNPCAL	C	N	P	C	A	L	498	null	EA 	
CNPCAM	C	N	P	C	A	M	992	null	EA 	
CNPCAP	C	N	P	C	A	P	1161	null	EA 	
CNPCCL	C	N	P	C	C	L	713	null	EA 	
CNPCCM	C	N	P	C	C	M	220	null	EA 	
CNPCCP	C	N	P	C	C	P	114	null	EA 	
CNPCIL	C	N	P	C	I	L	830	null	EA 	
CNPCIM	C	N	P	C	I	M	548	null	EA 	
CNPCIP	C	N	P	C	I	P	657	null	EA 	
CNPCLL	C	N	P	C	L	L	504	null	EA 	
CNPCLM	C	N	P	C	L	M	751	null	EA 	
CNPCLP	C	N	P	C	L	P	1143	null	EA 	
CNPCWL	C	N	P	C	W	L	985	null	EA 	
CNPCWM	C	N	P	C	W	M	254	null	EA 	
CNPCWP	C	N	P	C	W	P	445	null	EA 	
CNPHAL	C	N	P	H	A	L	116	null	EA 	
CNPHAM	C	N	P	H	A	M	548	null	EA 	
CNPHAP	C	N	P	H	A	P	881	null	EA 	
CNPHIL	C	N	P	H	I	L	135	null	EA 	
CNPHIM	C	N	P	H	I	M	358	null	EA 	
CNPHIP	C	N	P	H	I	P	552	null	EA 	
CNPHLL	C	N	P	H	L	L	103	null	EA 	
CNPHLM	C	N	P	H	L	M	346	null	EA 	
CNPHLP	C	N	P	H	L	P	577	null	EA 	
CNPLAL	C	N	P	L	A	L	186	null	EA 	
CNPLAM	C	N	P	L	A	M	734	null	EA 	
CNPLAP	C	N	P	L	A	P	1208	null	EA 	
CNPLIM	C	N	P	L	I	M	289	null	EA 	
CNPLIP	C	N	P	L	I	P	173	null	EA 	
CNPLLL	C	N	P	L	L	L	55	null	EA 	
CNPLLM	C	N	P	L	L	M	238	null	EA 	
CNPLLP	C	N	P	L	L	P	234	null	EA 	
CNPRAM	C	N	P	R	A	M	318	null	EA 	
CNPRAP	C	N	P	R	A	P	809	null	EA 	
CNPRIL	C	N	P	R	I	L	98	null	EA 	
CNPRIM	C	N	P	R	I	M	155	null	EA 	
CNPRIP	C	N	P	R	I	P	112	null	EA 	
CNPRLL	C	N	P	R	L	L	86	null	EA 	
CNPRLM	C	N	P	R	L	M	96	null	EA 	
CNPRLP	C	N	P	R	L	P	157	null	EA 	
CNSCAL	C	N	S	C	A	L	637	null	EA 	
CNSCAM	C	N	S	C	A	M	478	null	EA 	
CNSCAP	C	N	S	C	A	P	607	null	EA 	
CNSCCL	C	N	S	C	C	L	592	null	EA 	
CNSCIL	C	N	S	C	I	L	834	null	EA 	
CNSCIM	C	N	S	C	I	M	408	null	EA 	
CNSCIP	C	N	S	C	I	P	348	null	EA 	
CNSCLL	C	N	S	C	L	L	890	null	EA 	
CNSCLM	C	N	S	C	L	M	528	null	EA 	
CNSCLP	C	N	S	C	L	P	473	null	EA 	
CNSCWL	C	N	S	C	W	L	828	null	EA 	
CNSCWM	C	N	S	C	W	M	109	null	EA 	
CNSCWP	C	N	S	C	W	P	61	null	EA 	
CNSHAL	C	N	S	H	A	L	3564	null	EA 	
CNSHAM	C	N	S	H	A	M	3792	null	EA 	
CNSHAP	C	N	S	H	A	P	5069	null	EA 	
CNSHAS	C	N	S	H	A	S	98	null	EA 	
CNSHCL	C	N	S	H	C	L	287	null	EA 	
CNSHIL	C	N	S	H	I	L	3769	null	EA 	
CNSHIM	C	N	S	H	I	M	2307	null	EA 	
CNSHIP	C	N	S	H	I	P	2218	null	EA 	
CNSHIS	C	N	S	H	I	S	137	null	EA 	
CNSHLL	C	N	S	H	L	L	2904	null	EA 	
CNSHLM	C	N	S	H	L	M	2396	null	EA 	
CNSHLP	C	N	S	H	L	P	2897	null	EA 	
CNSHPM	C	N	S	H	P	M	127	null	EA 	
CNSHWL	C	N	S	H	W	L	1064	null	EA 	
CNSHWM	C	N	S	H	W	M	305	null	EA 	
CNSHWP	C	N	S	H	W	P	291	null	EA 	
CNSLAL	C	N	S	L	A	L	240	null	EA 	
CNSLAM	C	N	S	L	A	M	786	null	EA 	
CNSLAP	C	N	S	L	A	P	1751	null	EA 	
CNSLIL	C	N	S	L	I	L	190	null	EA 	
CNSLIM	C	N	S	L	I	M	552	null	EA 	
CNSLIP	C	N	S	L	I	P	440	null	EA 	
CNSLLL	C	N	S	L	L	L	143	null	EA 	
CNSLLM	C	N	S	L	L	M	314	null	EA 	
CNSLLP	C	N	S	L	L	P	707	null	EA 	
CNSLWM	C	N	S	L	W	M	67	null	EA 	
CNSRAL	C	N	S	R	A	L	4105	null	EA 	
CNSRAM	C	N	S	R	A	M	3298	null	EA 	
CNSRAP	C	N	S	R	A	P	3680	null	EA 	
CNSRAS	C	N	S	R	A	S	397	null	EA 	
CNSRCL	C	N	S	R	C	L	298	null	EA 	
CNSRCM	C	N	S	R	C	M	261	null	EA 	
CNSRDL	C	N	S	R	D	L	97	null	EA 	
CNSRDM	C	N	S	R	D	M	131	null	EA 	
CNSRIL	C	N	S	R	I	L	6065	null	EA 	
CNSRIM	C	N	S	R	I	M	3725	null	EA 	
CNSRIP	C	N	S	R	I	P	2731	null	EA 	
CNSRIS	C	N	S	R	I	S	291	null	EA 	
CNSRLL	C	N	S	R	L	L	2477	null	EA 	
CNSRLM	C	N	S	R	L	M	2457	null	EA 	
CNSRLP	C	N	S	R	L	P	2377	null	EA 	
CNSRLS	C	N	S	R	L	S	65	null	EA 	
CNSRPL	C	N	S	R	P	L	108	null	EA 	
CNSRPM	C	N	S	R	P	M	407	null	EA 	
CNSRPP	C	N	S	R	P	P	193	null	EA 	
CNSRPS	C	N	S	R	P	S	62	null	EA 	
CNSRWL	C	N	S	R	W	L	1161	null	EA 	
CNSRWM	C	N	S	R	W	M	955	null	EA 	
CNSRWP	C	N	S	R	W	P	375	null	EA 	
CRNCAL	C	R	N	C	A	L	1825	null	EA 	
CRNCAM	C	R	N	C	A	M	2819	null	EA 	
CRNCAP	C	R	N	C	A	P	1198	null	EA 	
CRNCAS	C	R	N	C	A	S	189	null	EA 	
CRNCCL	C	R	N	C	C	L	74	null	EA 	
CRNCIL	C	R	N	C	I	L	2085	null	EA 	
