Strata ID	Layer 1	Layer 2	Layer 3	Layer 4	Layer 5	Layer 6	Total area (acres)	Age Class	Strata in optimization model	
CNOLLM	C	N	O	L	L	M	56	8	Yes	
CNORAM	C	N	O	R	A	M	217	8	Yes	
CNORIL	C	N	O	R	I	L	409	8	Yes	
CNORIM	C	N	O	R	I	M	252	8	Yes	
CNORLL	C	N	O	R	L	L	241	8	Yes	
CNORLM	C	N	O	R	L	M	156	8	Yes	
CNORWL	C	N	O	R	W	L	109	8	Yes	
CNORWM	C	N	O	R	W	M	67	8	Yes	
CNPCAM	C	N	P	C	A	M	992	8	Yes	
CNPCCL	C	N	P	C	C	L	713	8	Yes	
CNPCCM	C	N	P	C	C	M	220	8	Yes	
CNPCIL	C	N	P	C	I	L	830	8	Yes	
CNPCIM	C	N	P	C	I	M	548	8	Yes	
CNPCLL	C	N	P	C	L	L	504	8	Yes	
CNPCLM	C	N	P	C	L	M	751	8	Yes	
CNPCWL	C	N	P	C	W	L	985	8	Yes	
CNPCWM	C	N	P	C	W	M	254	8	Yes	
CNPHAM	C	N	P	H	A	M	548	8	Yes	
CNPHIL	C	N	P	H	I	L	135	8	Yes	
CNPHIM	C	N	P	H	I	M	358	8	Yes	
CNPHLL	C	N	P	H	L	L	103	8	Yes	
CNPHLM	C	N	P	H	L	M	346	8	Yes	
CNPLAM	C	N	P	L	A	M	734	8	Yes	
CNPLIM	C	N	P	L	I	M	289	8	Yes	
CNPLLL	C	N	P	L	L	L	55	8	Yes	
CNPLLM	C	N	P	L	L	M	238	8	Yes	
CNPRAM	C	N	P	R	A	M	318	8	Yes	
CNPRIL	C	N	P	R	I	L	98	8	Yes	
CNPRIM	C	N	P	R	I	M	155	8	Yes	
CNPRLL	C	N	P	R	L	L	86	8	Yes	
CNPRLM	C	N	P	R	L	M	96	8	Yes	
CNSCAM	C	N	S	C	A	M	478	8	Yes	
CNSCCL	C	N	S	C	C	L	592	8	Yes	
CNSCIL	C	N	S	C	I	L	834	8	Yes	
CNSCIM	C	N	S	C	I	M	408	8	Yes	
CNSCLL	C	N	S	C	L	L	890	8	Yes	
CNSCLM	C	N	S	C	L	M	528	8	Yes	
CNSCWL	C	N	S	C	W	L	828	8	Yes	
CNSCWM	C	N	S	C	W	M	109	8	Yes	
CNSHAM	C	N	S	H	A	M	3792	8	Yes	
CNSHCL	C	N	S	H	C	L	287	8	Yes	
CNSHIL	C	N	S	H	I	L	3769	8	Yes	
CNSHIM	C	N	S	H	I	M	2307	8	Yes	
CNSHLL	C	N	S	H	L	L	2904	8	Yes	
CNSHLM	C	N	S	H	L	M	2396	8	Yes	
CNSHPM	C	N	S	H	P	M	127	8	Yes	
