strata_id	layer1	layer2	layer3	layer4	layer5	layer6	acres	ageclass	model_strata	
I1ONHO	I	1	O	N	H	O	2900.37	6	true	
I1ONHR	I	1	O	N	H	R	258.44	10	true	
I1ONHS	I	1	O	N	H	S	689.07	10	true	
I1ONIF	I	1	O	N	I	F	545.67	1	true	
I1ONIH	I	1	O	N	I	H	2187.72	3	true	
I1ONII	I	1	O	N	I	I	1021.9	3	true	
I1ONIJ	I	1	O	N	I	J	1215.87	3	true	
I1ONIK	I	1	O	N	I	K	5041.13	3	true	
I1ONIL	I	1	O	N	I	L	150.5	6	true	
I1ONIM	I	1	O	N	I	M	623.54	6	true	
I1ONIN	I	1	O	N	I	N	864.08	6	true	
I1ONIO	I	1	O	N	I	O	2581.86	6	true	
I2BNDF	I	2	B	N	D	F	8898.73	1	true	
I2BNDI	I	2	B	N	D	I	168.92	3	true	
I2BNDJ	I	2	B	N	D	J	411.17	3	true	
I2BNDK	I	2	B	N	D	K	1854.51	3	true	
I2BNDM	I	2	B	N	D	M	211.07	6	true	
I2BNDN	I	2	B	N	D	N	515.58	6	true	
I2BNDO	I	2	B	N	D	O	1804.31	6	true	
I2BNDS	I	2	B	N	D	S	190.96	10	true	
I2BNEF	I	2	B	N	E	F	820.5	1	true	
I2BNEG	I	2	B	N	E	G	567.46	1	true	
I2BNEK	I	2	B	N	E	K	909.72	3	true	
I2BNFF	I	2	B	N	F	F	239.35	1	true	
I2BNFH	I	2	B	N	F	H	777.1	3	true	
I2BNFI	I	2	B	N	F	I	1472.54	3	true	
I2BNFJ	I	2	B	N	F	J	2738.93	3	true	
I2BNFK	I	2	B	N	F	K	13522.7	3	true	
I2BNFM	I	2	B	N	F	M	915.76	6	true	
I2BNFN	I	2	B	N	F	N	2722.56	6	true	
I2BNFO	I	2	B	N	F	O	15900.0	6	true	
I2BNFS	I	2	B	N	F	S	684.11	10	true	
I2BNGF	I	2	B	N	G	F	3340.53	1	true	
I2BNGG	I	2	B	N	G	G	3918.04	1	true	
I2BNGJ	I	2	B	N	G	J	682.37	3	true	
I2BNGK	I	2	B	N	G	K	11829.7	3	true	
I2BNGO	I	2	B	N	G	O	4131.21	6	true	
I2BNHF	I	2	B	N	H	F	7174.25	1	true	
I2BNHG	I	2	B	N	H	G	693.93	1	true	
I2BNHH	I	2	B	N	H	H	550.67	3	true	
I2BNHI	I	2	B	N	H	I	973.51	3	true	
I2BNHJ	I	2	B	N	H	J	2169.51	3	true	
I2BNHK	I	2	B	N	H	K	6216.78	3	true	
I2BNHM	I	2	B	N	H	M	281.51	6	true	
I2BNHN	I	2	B	N	H	N	1398.14	6	true	
I2BNHO	I	2	B	N	H	O	10625.2	6	true	
I2BNHS	I	2	B	N	H	S	1098.03	10	true	
I2BNIF	I	2	B	N	I	F	254.57	1	true	
I2BNIG	I	2	B	N	I	G	179.52	1	true	
I2BNIH	I	2	B	N	I	H	270.06	3	true	
